MINSAN,Prodotto,Categoria,Immagine_URL,Farmacia Igea,Farmaè,Dr Max,RedCare,Farmacia Loreto,1000Farmacie,Top Farmacia,eFarma,Farmacosmo
027022030,TACHIPIRINA*500MG 30 COMPRESSE,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,4.50,4.20,4.10,4.30,4.60,3.90,4.40,4.50,4.10
027022081,TACHIPIRINA*1000MG 16 COMPRESSE EFFERVESCENTI,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,7.80,7.50,7.20,7.40,7.90,6.90,7.60,7.80,7.30
038481015,OKITASK*40MG GRANULATO 20 BUSTINE,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,6.90,6.50,6.20,6.40,6.80,5.70,6.30,6.60,6.10
041065012,VOLTAREN EMULGEL*2% GEL 100G,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,14.50,13.80,13.50,13.90,14.80,12.90,14.20,14.50,13.70
041065024,VOLTAREN EMULGEL*2% GEL 150G,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,18.90,17.90,17.50,18.10,19.20,16.80,18.50,18.90,17.80
022683049,ASPIRINA DOLORE E INFLUENZA*500MG 20 COMPRESSE,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,7.50,7.10,6.90,7.20,7.60,6.50,7.30,7.50,7.00
031834016,MOMENDOL*220MG 24 COMPRESSE RIVESTITE,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,8.20,7.80,7.50,7.70,8.40,7.20,8.00,8.20,7.60
025324018,NUROFEN FEBBRE E DOLORE*BAMBINI FRAGOLA 150ML,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,9.40,8.90,8.60,8.80,9.60,8.20,9.20,9.40,8.70
025324020,NUROFEN*400MG 12 COMPRESSE MOLLI,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,7.90,7.40,7.20,7.50,8.10,6.80,7.70,7.90,7.30
035544013,BUSCOPAN*10MG 30 COMPRESSE RIVESTITE,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,9.10,8.60,8.30,8.50,9.30,7.90,8.90,9.10,8.40
028120015,GAVISCON*32 COMPRESSE MASTICABILI MENTA,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,10.50,9.90,9.60,9.80,10.80,9.20,10.20,10.50,9.70
034458023,MAALOX PLUS*30 COMPRESSE MASTICABILI,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,8.90,8.40,8.10,8.30,9.10,7.70,8.70,8.90,8.20
021382025,ENTEROGERMINA*4 MILIARDI 20 FLACONCINI,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,16.50,15.60,15.20,15.50,16.90,14.50,16.10,16.50,15.30
021382013,ENTEROGERMINA*2 MILIARDI 20 FLACONCINI,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,13.20,12.50,12.10,12.40,13.50,11.60,12.90,13.20,12.20
033568019,RINAZOLINA*0,1% GOCCE NASALI 15ML,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,6.80,6.40,6.20,6.30,7.00,5.90,6.60,6.80,6.20
023588036,VICKS VAPORUB*UNGUENTO 50G,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,8.50,8.00,7.80,7.90,8.70,7.40,8.30,8.50,7.90
023253018,TANTUM VERDE SPRAY*0,15% NEBULIZZATORE 30ML,Farmaci da Banco,https://cdn-icons-png.flaticon.com/512/3028/3028549.png,8.90,8.40,8.10,8.30,9.10,7.70,8.70,8.90,8.20
