MINSAN,Prodotto,Categoria,Farmacia Igea,Farmaè,Dr Max,RedCare,Farmacia Loreto,1000Farmacie,Top Farmacia,eFarma,Farmacosmo
800410001,Boiron Belladonna 9CH Granuli,Fitoterapia e Omeopatia,6.20,6.50,6.10,5.90,6.30,6.40,6.00,6.25,6.15
800410002,Boiron Belladonna 5CH Granuli,Fitoterapia e Omeopatia,6.20,6.50,6.10,5.90,6.30,6.40,6.00,6.25,6.15
800410010,Boiron Nux Vomica 9CH Granuli,Fitoterapia e Omeopatia,6.20,6.40,6.15,5.85,6.30,6.35,6.10,6.20,6.25
800410011,Boiron Nux Vomica 15CH Granuli,Fitoterapia e Omeopatia,6.20,6.40,6.15,5.85,6.30,6.35,6.10,6.20,6.25
800423401,Boiron Arnica Montana 9CH Granuli,Fitoterapia e Omeopatia,6.00,6.20,5.90,5.80,6.10,6.15,5.95,6.05,6.10
800423402,Boiron Arnica Montana 15CH Granuli,Fitoterapia e Omeopatia,6.00,6.20,5.90,5.80,6.10,6.15,5.95,6.05,6.10
800423405,Boiron Chamomilla Vulgaris 9CH,Fitoterapia e Omeopatia,6.20,6.30,6.10,6.00,6.25,6.30,6.15,6.20,6.22
800123401,Tachipirina 500mg Compresse,Farmaci da Banco (SOP/OTC),6.00,5.80,5.90,5.75,6.10,6.00,5.85,5.95,6.05
800123402,Tachipirina 1000mg Bustine,Farmaci da Banco (SOP/OTC),7.50,7.20,7.30,7.10,7.60,7.40,7.25,7.35,7.45
800123403,Nurofen 400mg Capsule Molli,Farmaci da Banco (SOP/OTC),7.00,6.80,6.90,6.70,7.10,6.95,6.85,6.90,7.05
800123404,Oki 80mg Granulato 30 Bustine,Farmaci da Banco (SOP/OTC),8.50,8.20,8.30,8.10,8.60,8.40,8.25,8.35,8.45
800223401,Multicentrum Uomo 90 Compresse,Integratori e Vitamine,16.00,15.50,15.80,15.20,16.20,15.90,15.60,15.75,16.10
800223403,Polase 36 Bustine,Integratori e Vitamine,12.00,11.50,11.80,11.20,12.20,11.90,11.60,11.75,12.05
800323402,CeraVe Crema Idratante Corpo 450g,Cosmesi e Dermocosmesi,14.00,13.50,13.80,13.20,14.20,13.90,13.60,13.75,14.10
800623401,Omron M2 Misuratore Pressione,Dispositivi Medici,39.00,38.00,38.50,37.50,39.50,38.90,38.20,38.60,39.20
